vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
37,4,7,17,10,11,168379,LI
28,3,3,5,8,7,79735,LI
15,2,2,2,6,3,19479,LI
12,2,3,6,6,2,44767,LI
9,1,1,1,5,1,9131,LI
53,8,20,24,21,16,499361,LI
50,7,18,22,19,15,513650,LI
47,6,15,19,19,14,432891,LI
44,5,16,23,19,13,389228,LI
41,4,13,17,17,12,354652,LI
34,4,15,21,16,11,279519,LI
30,3,12,16,14,10,180981,LI
22,2,5,17,11,7,87326,LI
19,1,4,5,11,6,66064,LI
59,7,4,5,17,20,117215,LI
56,7,16,22,17,19,493928,LI
53,6,16,26,17,18,385072,LI
50,5,12,18,15,17,367497,LI
47,4,9,15,14,16,250174,LI
44,4,8,14,14,15,216480,LI
40,3,8,21,14,14,206039,LI
37,2,4,8,13,13,104692,LI
8,1,3,4,5,2,18008,LI
56,5,13,34,15,22,346562,LI
50,4,10,44,12,20,289606,LI
47,4,9,43,12,19,260055,LI
44,3,7,25,12,18,217306,LI
41,2,5,15,11,17,157085,LI
38,1,1,1,11,16,31425,LI
54,3,14,22,21,17,378640,LI
51,2,13,18,19,16,327993,LI
41,1,1,1,15,14,33976,LI
51,5,7,10,15,17,239547,LI
48,4,5,6,13,16,141120,LI
45,3,9,42,12,15,164447,LI
42,2,5,33,12,14,132412,LI
39,1,3,4,12,13,88151,LI
50,1,7,8,13,16,217013,LI
55,4,8,22,13,21,252375,LI
52,3,11,37,12,20,259983,LI
49,3,10,36,12,19,255088,LI
46,2,6,20,11,18,187731,LI
61,3,9,30,14,20,527885,LI
52,2,7,21,13,18,387641,LI
36,1,5,32,10,14,126183,LI
57,6,9,14,19,22,237377,LI
54,5,18,42,19,21,415427,LI
51,4,12,35,17,20,327604,LI
48,3,11,28,15,19,303400,LI
45,2,4,7,15,18,141631,LI
7,1,2,2,4,1,12532,LI
58,5,7,37,16,20,281770,LI
55,4,4,32,16,19,199613,LI
52,3,3,5,16,18,155172,LI
56,4,12,16,16,20,348418,LI
53,3,12,26,16,19,322513,LI
59,2,2,2,16,21,116485,LI
56,2,5,50,15,20,148841,LI
53,1,1,1,15,19,67769,LI
86,5,12,33,17,30,646507,LI
85,6,13,34,17,29,642348,LI
82,6,14,37,17,28,649029,LI
79,5,12,33,17,27,610051,LI
76,5,12,36,17,26,560529,LI
75,6,13,37,16,25,570210,LI
72,6,14,40,16,24,579825,LI
69,5,12,36,16,23,568953,LI
66,4,11,32,16,22,443156,LI
61,4,11,34,16,21,415397,LI
60,5,12,35,15,20,379642,LI
57,5,13,38,15,19,436933,LI
54,4,11,34,15,18,346655,LI
51,3,10,31,15,17,300579,LI
48,3,10,34,15,16,314097,LI
47,4,11,35,13,15,301630,LI
44,4,12,38,13,14,295696,LI
41,3,10,34,12,13,310208,LI
38,2,9,30,12,12,290278,LI
33,1,7,18,12,11,181218,LI
34,2,8,19,11,10,178512,LI
29,2,9,22,11,9,149999,LI
25,1,7,18,11,8,113933,LI
53,6,15,42,21,20,520709,LI
46,5,14,31,21,17,487840,LI
43,4,11,22,19,16,329964,LI
28,3,10,17,12,11,184179,LI
25,2,6,10,11,10,111447,LI
22,1,1,1,9,9,21051,LI
55,6,10,24,14,18,240041,LI
52,5,9,21,12,17,206226,LI
44,4,4,4,12,14,110645,LI
28,3,11,15,12,9,124979,LI
25,2,5,9,11,8,78299,LI
22,1,2,2,9,7,36871,LI
9,1,1,1,4,3,8849,LI
57,4,7,8,15,20,317176,LI
56,6,13,22,14,19,370248,LI
53,5,11,15,14,18,340992,LI
46,4,9,10,14,15,219379,LI
41,3,9,26,14,13,331947,LI
38,2,8,31,13,12,287268,LI
33,1,5,6,13,11,177350,LI
10,1,4,5,6,3,32027,LI
58,8,9,9,15,18,148339,LI
55,7,7,7,15,17,139302,LI
52,6,5,5,15,16,91027,LI
47,5,2,2,15,15,75974,LI
43,5,8,12,15,14,243072,LI
39,4,13,26,15,13,244927,LI
36,3,11,24,15,12,207433,LI
26,2,9,22,10,9,123780,LI
23,1,1,1,10,8,21895,LI
51,4,12,13,16,19,368323,LI
47,3,10,22,14,18,372665,LI
44,2,9,29,14,17,331113,LI
41,1,6,6,14,16,319305,LI
51,7,12,28,14,17,298359,LI
48,7,11,27,13,16,260562,LI
45,6,8,9,13,15,207722,LI
42,5,6,7,12,14,159357,LI
39,4,9,29,11,13,153971,LI
36,3,8,26,10,12,129785,LI
32,2,3,27,10,11,76024,LI
29,1,2,2,10,10,45950,LI
36,3,8,12,10,9,179394,LI
33,3,8,16,10,8,164945,LI
30,2,7,11,10,7,188486,LI
24,1,3,3,8,6,53486,LI
21,1,2,2,8,5,32948,LI
52,6,10,17,17,16,264160,LI
49,5,11,30,17,15,351265,LI
46,4,10,23,15,14,302735,LI
43,3,6,13,16,13,198110,LI
22,3,5,12,8,6,80289,LI
21,2,3,6,7,6,59083,LI
10,1,2,2,4,2,19442,LI
5,1,1,1,2,1,5756,LI
51,1,11,32,14,19,348574,LI
48,1,10,31,15,18,308428,LI
45,1,9,30,13,17,325948,LI
42,1,8,29,12,16,243562,LI
39,1,8,29,12,15,222167,LI
36,1,8,29,12,14,202130,LI
51,7,4,4,13,15,45789,LI
48,6,9,22,13,14,181934,LI
45,6,8,21,11,13,155576,LI
41,5,7,13,10,12,130404,LI
38,4,9,26,10,11,149002,LI
35,3,6,23,10,10,124411,LI
32,2,3,8,10,9,74002,LI
40,1,1,1,13,12,36447,LI
55,6,8,10,10,18,201962,LI
52,5,9,17,10,17,275427,LI
49,4,8,14,9,16,153663,LI
44,3,5,7,8,14,108201,LI
39,2,3,5,8,13,86143,LI
20,1,2,2,6,6,22218,LI
17,1,1,1,6,5,16184,LI
54,6,4,4,18,18,109475,LI
51,5,10,16,18,17,276382,LI
48,5,9,15,18,16,247869,LI
45,4,16,25,18,15,364638,LI
42,3,12,21,16,14,323950,LI
33,2,7,13,14,10,175503,LI
30,1,2,2,13,9,83438,LI
7,1,1,1,3,1,8208,LI
52,3,10,10,14,20,282911,LI
40,2,6,6,10,16,155221,LI
37,2,5,5,10,15,114079,LI
34,2,5,5,10,14,94902,LI
31,1,7,8,10,13,117043,LI
28,1,6,7,8,12,86532,LI
57,8,9,13,18,19,239963,LI
54,7,9,18,18,18,237921,LI
51,6,16,30,18,17,313425,LI
48,5,14,28,16,16,271700,LI
43,4,13,25,14,15,274705,LI
39,3,7,16,12,14,153453,LI
29,2,9,24,11,11,131195,LI
26,2,8,23,9,10,127071,LI
23,1,1,1,9,9,21689,LI
56,3,17,32,19,20,523870,LI
53,2,15,30,19,19,474365,LI
45,1,10,18,16,17,316771,LI
57,7,8,14,16,19,267066,LI
54,6,9,17,16,18,251867,LI
51,5,15,33,16,17,332828,LI
46,4,11,27,14,15,239857,LI
43,3,13,35,14,14,219064,LI
40,2,9,25,12,13,178707,LI
34,1,2,2,11,12,42980,LI
53,6,5,9,18,17,80962,LI
50,6,6,10,18,16,72196,LI
47,5,4,4,18,15,48804,LI
44,4,9,24,18,14,244882,LI
41,3,6,17,16,13,175195,LI
20,3,5,16,6,7,58562,LI
17,2,3,10,5,6,37877,LI
14,1,1,1,5,5,15747,LI
59,6,18,21,20,19,533627,LI
53,5,12,25,17,17,437012,LI
49,4,11,13,17,16,310034,LI
46,4,10,12,16,15,255231,LI
43,3,7,8,16,14,212858,LI
21,2,5,6,11,7,98936,LI
18,1,2,2,9,6,29511,LI
52,5,5,6,11,17,119309,LI
49,4,10,39,11,16,194990,LI
46,3,8,35,10,15,163272,LI
40,2,4,24,10,13,104606,LI
29,1,5,26,10,10,75236,LI
57,5,10,10,12,20,189828,LI
54,4,3,3,12,19,86498,LI
57,4,8,8,12,18,181786,LI
54,4,7,7,12,17,133995,LI
51,4,6,6,12,16,106453,LI
48,4,5,5,12,15,81852,LI
44,4,4,4,12,14,55183,LI
41,4,3,3,12,13,39318,LI
38,4,2,2,12,12,27277,LI
35,4,6,8,12,11,103117,LI
34,4,6,8,12,10,96420,LI
29,4,5,7,12,9,68821,LI
26,3,10,14,12,8,134511,LI
19,2,6,9,10,5,63091,LI
16,2,8,12,10,4,59178,LI
13,1,1,1,8,3,12113,LI
56,6,16,25,17,18,334586,LI
53,5,14,23,15,17,291049,LI
50,4,12,26,15,16,276005,LI
47,3,10,19,15,15,229350,LI
40,3,9,18,15,13,169746,LI
37,3,13,24,15,12,202942,LI
32,2,8,17,15,10,133378,LI
19,1,4,13,7,6,53554,LI
54,5,8,11,13,17,336799,LI
57,4,10,48,14,18,354938,LI
54,3,7,37,14,17,307177,LI
51,3,8,38,14,16,368148,LI
46,2,4,7,14,14,196683,LI
47,6,9,16,12,13,325729,LI
40,5,8,13,12,11,216590,LI
37,4,9,15,12,10,197548,LI
30,3,6,9,9,8,130715,LI
24,2,6,10,9,6,101976,LI
18,1,2,2,8,5,47731,LI
15,1,1,1,8,4,25308,LI
58,4,10,16,20,22,463985,LI
55,3,17,38,20,21,579929,LI
46,2,16,33,18,18,421192,LI
43,1,4,4,16,17,178066,LI
40,1,3,3,15,16,111247,LI
53,5,18,23,19,20,489871,LI
50,4,13,33,19,19,380399,LI
47,3,10,14,19,18,304532,LI
44,2,5,5,17,17,169846,LI
41,2,4,4,16,16,114732,LI
42,4,8,14,14,15,216502,LI
26,4,7,13,8,8,99954,LI
23,3,6,9,8,7,90229,LI
20,2,5,5,7,6,52539,LI
16,2,4,4,7,5,31467,LI
13,1,6,7,7,4,49405,LI
10,1,5,6,6,3,30959,LI
56,6,7,7,18,22,233920,LI
53,5,12,25,18,21,432753,LI
50,5,11,24,19,20,370890,LI
45,4,7,8,17,18,227566,LI
42,3,4,4,15,17,129053,LI
39,2,4,36,13,16,100822,LI
36,1,2,2,13,15,62963,LI
36,4,9,15,11,14,155510,LI
33,3,10,29,11,13,166992,LI
30,2,3,5,11,12,63851,LI
5,1,2,2,3,1,8739,LI
54,4,4,4,14,17,81153,LI
44,3,2,2,14,14,32157,LI
41,3,7,9,14,13,236639,LI
38,2,2,4,14,12,87968,LI
47,3,5,7,13,11,211070,LI
44,3,9,16,13,10,262168,LI
41,3,8,15,13,9,218924,LI
36,3,7,14,13,8,206348,LI
22,2,4,6,8,4,83086,LI
17,2,3,5,6,3,73314,LI
12,2,2,4,6,2,26738,LI
9,1,1,1,6,1,10199,LI
52,4,18,23,19,18,397118,LI
48,3,15,19,17,17,322183,LI
44,2,7,8,15,16,207250,LI
41,1,1,1,13,15,49939,LI
56,4,11,18,14,14,229896,LI
53,3,3,3,12,13,133092,LI
50,3,6,30,13,12,205021,LI
47,3,5,29,13,11,182305,LI
41,2,4,24,13,10,154228,LI
38,2,3,23,13,9,117525,LI
32,1,2,2,13,8,85887,LI
24,1,1,1,11,7,31950,LI
54,7,8,10,11,21,202496,LI
51,6,8,11,11,20,181155,LI
48,5,7,18,11,19,186994,LI
45,4,5,16,9,18,188218,LI
50,3,2,2,10,21,110365,LI
47,3,5,43,9,20,110038,LI
44,2,2,38,9,19,89474,LI
41,1,1,1,9,18,57343,LI
89,9,5,9,10,17,155441,LI
83,8,4,4,10,16,111379,LI
78,8,3,3,10,15,74912,LI
72,8,2,2,10,14,48576,LI
69,8,7,15,10,13,372743,LI
63,8,7,18,10,12,318267,LI
57,7,6,14,10,11,228659,LI
52,6,5,9,10,10,210091,LI
48,6,7,18,10,9,223812,LI
42,6,7,21,10,8,186161,LI
36,5,6,17,8,7,137304,LI
31,4,5,12,8,6,104204,LI
27,3,4,8,6,5,86494,LI
22,3,3,7,6,4,45351,LI
19,3,3,11,6,3,48588,LI
13,2,2,6,5,2,27190,LI
8,1,1,1,4,1,25857,LI
58,10,7,7,17,19,221364,LI
55,10,6,6,17,18,191741,LI
50,9,16,22,17,17,385300,LI
47,8,13,19,15,16,380972,LI
44,7,9,14,15,15,256505,LI
41,6,8,11,14,14,228573,LI
38,6,12,29,14,13,257911,LI
32,5,9,25,12,11,187799,LI
29,4,8,21,12,10,155915,LI
26,3,7,10,12,9,123275,LI
20,2,4,4,10,7,58110,LI
6,1,2,2,4,1,10695,LI
52,6,10,11,15,16,354621,LI
41,5,10,20,13,11,226468,LI
38,4,8,16,13,10,224875,LI
35,3,5,5,13,9,129990,LI
33,3,6,6,11,8,124380,LI
30,3,5,5,10,7,100264,LI
22,2,3,3,8,5,50008,LI
17,2,2,2,6,4,25034,LI
13,2,4,8,5,3,32395,LI
8,1,1,1,4,1,9218,LI
57,4,7,12,17,22,227194,LI
54,3,8,20,17,21,335748,LI
51,2,6,16,15,20,232968,LI
17,1,4,5,7,6,52652,LI
54,4,6,7,12,18,178475,LI
51,3,11,34,12,17,302151,LI
47,2,9,29,12,16,259292,LI
43,1,7,27,12,15,240797,LI
56,5,6,8,15,21,239430,LI
53,4,5,5,15,20,249094,LI
50,4,12,22,15,19,379784,LI
47,3,8,31,13,18,332555,LI
44,2,5,7,13,17,245106,LI
50,7,9,15,12,16,304071,LI
47,6,8,12,12,15,322098,LI
44,5,7,9,12,14,228596,LI
41,5,11,17,12,13,274745,LI
38,5,11,19,12,12,287931,LI
35,4,10,16,11,11,201064,LI
32,3,8,12,10,10,162600,LI
29,3,7,11,9,9,133234,LI
25,2,6,8,7,8,97721,LI
22,2,5,7,6,7,75970,LI
19,1,4,4,5,6,54332,LI
16,1,3,3,5,5,67326,LI
13,1,2,2,5,4,28883,LI
14,1,2,2,5,4,28670,LI
11,1,1,1,6,3,13603,LI
8,1,1,1,4,2,8254,LI
53,4,7,7,13,20,257471,LI
49,4,6,6,13,19,163903,LI
46,4,5,5,13,18,143767,LI
35,4,4,4,13,13,84406,LI
32,3,11,17,13,12,164859,LI
29,2,5,8,11,11,104845,LI
26,1,6,18,9,10,99302,LI
53,5,2,2,20,18,45725,LI
46,5,17,27,20,17,397276,LI
42,4,10,17,18,16,268240,LI
39,3,7,14,16,15,180822,LI
38,2,4,8,14,15,91227,LI
8,1,1,1,4,1,9394,LI
58,3,15,26,18,23,521476,LI
53,2,12,23,18,21,389733,LI
50,1,5,6,18,20,181319,LI
56,4,6,11,18,19,232355,LI
53,3,3,3,16,18,108009,LI
22,2,6,12,9,8,92041,LI
17,1,1,1,7,6,18375,LI
53,8,4,5,13,16,47782,LI
50,7,10,19,13,15,227435,LI
47,7,10,19,13,14,223133,LI
43,6,8,20,13,13,199163,LI
40,5,7,15,11,12,150548,LI
33,4,10,22,11,11,147815,LI
30,3,7,18,11,10,116681,LI
21,2,3,8,8,7,44176,LI
8,1,1,1,4,2,9696,LI
6,1,1,1,3,1,6371,LI
55,8,14,21,17,17,253889,LI
52,7,10,16,15,16,202954,LI
49,6,9,13,13,15,168551,LI
41,5,7,19,10,13,131469,LI
37,4,5,14,8,12,99324,LI
31,3,4,6,8,11,66586,LI
29,4,6,10,8,10,68339,LI
26,3,5,7,8,9,51164,LI
23,2,2,4,8,8,38943,LI
5,1,1,1,2,1,6123,LI
58,7,9,10,15,19,159835,LI
55,6,5,5,15,18,136058,LI
56,7,6,11,15,18,186206,LI
53,6,5,5,15,17,108346,LI
47,6,4,4,15,15,74658,LI
44,5,6,9,15,14,126411,LI
38,4,13,19,15,12,237987,LI
33,3,11,25,15,11,194125,LI
28,2,9,14,15,9,140079,LI
23,1,6,10,13,7,79633,LI
21,2,7,13,11,6,79459,LI
13,1,6,10,7,4,40758,LI
55,6,12,16,15,19,328194,LI
52,6,13,17,14,18,717301,LI
49,5,11,13,12,17,247984,LI
46,4,8,26,11,16,185111,LI
43,3,5,21,11,15,154701,LI
40,2,4,4,11,14,123455,LI
43,2,7,8,12,13,188449,LI
32,1,2,2,10,10,72118,LI
55,1,4,4,14,19,196261,LI
112,4,10,58,20,38,716745,LI
109,3,7,39,18,37,630338,LI
90,3,6,38,16,31,469207,LI
72,2,5,21,15,25,323254,LI
56,1,4,4,14,19,202340,LI
39,1,3,3,13,13,103224,LI
35,1,2,2,13,12,90922,LI
96,4,8,59,19,31,462965,LI
93,3,5,39,17,30,387441,LI
73,3,4,38,15,24,272001,LI
54,2,3,20,14,18,168085,LI
37,1,2,2,13,12,82874,LI
19,1,1,1,11,6,23505,LI
55,8,15,21,16,16,315800,LI
52,7,14,18,15,15,323869,LI
49,6,14,24,15,14,248355,LI
46,5,11,15,14,13,197163,LI
38,4,5,8,12,10,96513,LI
31,3,2,2,10,8,43331,LI
28,3,7,21,10,7,84628,LI
25,2,2,15,10,6,50648,LI
22,1,1,1,10,5,24140,LI
53,7,6,6,10,16,190556,LI
50,6,3,3,10,15,86206,LI
47,6,9,19,10,14,170525,LI
44,5,6,15,9,13,136303,LI
39,4,5,9,9,11,99963,LI
36,3,3,7,9,10,104818,LI
47,3,5,9,10,13,146553,LI
37,3,4,8,9,10,114823,LI
41,4,6,18,11,11,139365,LI
38,3,4,8,9,10,118132,LI
28,2,2,2,9,7,46456,LI
18,2,2,5,9,4,40938,LI
17,2,3,6,7,3,48910,LI
14,2,2,5,7,2,31902,LI
9,1,1,1,5,1,10753,LI
53,7,16,24,18,16,456316,LI
49,7,15,23,17,15,398350,LI
46,6,16,33,17,14,449433,LI
43,5,12,25,15,13,331479,LI
36,5,11,24,15,11,254732,LI
27,4,10,18,14,8,156143,LI
24,4,9,17,12,7,144075,LI
21,3,6,11,10,6,85258,LI
18,2,3,5,9,5,48694,LI
15,2,2,4,8,4,30826,LI
13,2,2,4,7,3,23923,LI
10,1,1,1,6,2,9947,LI
54,6,5,7,12,18,68629,LI
51,5,2,2,12,17,44366,LI
48,5,7,14,12,16,163545,LI
45,5,11,21,12,15,215757,LI
40,4,6,13,11,13,127729,LI
37,3,6,24,10,12,159074,LI
27,3,5,23,10,8,89709,LI
24,2,3,9,10,7,86534,LI
23,2,5,12,8,6,80094,LI
16,2,4,11,6,4,46303,LI
13,1,1,1,5,3,17626,LI
54,6,4,4,11,19,54545,LI
50,5,8,12,11,18,229812,LI
47,4,5,9,11,17,167166,LI
45,4,5,9,11,16,155977,LI
42,4,4,8,11,15,134523,LI
39,4,3,7,10,14,102855,LI
50,7,6,10,10,13,197136,LI
47,7,7,18,10,12,205222,LI
44,6,6,14,10,11,176998,LI
41,5,5,9,10,10,141106,LI
33,5,4,8,9,9,86559,LI
30,5,4,12,9,8,95774,LI
27,4,3,7,9,7,59114,LI
21,4,8,17,9,6,88249,LI
18,3,4,11,7,5,52756,LI
15,2,2,6,5,4,30351,LI
12,1,1,1,5,3,13163,LI
52,4,11,15,16,19,378368,LI
49,3,10,11,14,18,333091,LI
34,3,9,10,11,12,147325,LI
31,2,7,8,11,11,132714,LI
28,1,1,1,11,10,38270,LI
28,2,4,6,9,9,57341,LI
25,2,3,5,9,8,38574,LI
21,1,2,2,9,7,20645,LI
18,1,1,1,9,6,16764,LI
56,7,5,5,23,16,191931,LI
53,6,21,39,23,15,547049,LI
48,5,20,36,21,14,379685,LI
44,4,16,31,19,13,369199,LI
41,3,5,16,17,12,209036,LI
38,2,3,14,15,11,136124,LI
39,2,8,22,15,10,215976,LI
36,1,2,2,15,9,82402,LI
13,1,1,1,7,4,19264,LI
11,1,5,7,6,3,42448,LI
59,8,13,21,18,17,233131,LI
56,7,16,44,18,16,419187,LI
53,6,15,40,17,15,378713,LI
49,5,14,42,15,14,290084,LI
46,4,9,31,15,13,243197,LI
35,3,7,29,13,10,158352,LI
29,2,4,8,13,8,102966,LI
26,2,10,20,12,7,128566,LI
22,1,1,1,10,6,38380,LI
56,8,11,28,12,17,301043,LI
53,7,8,22,12,16,214054,LI
50,6,9,31,12,15,219788,LI
47,5,7,29,12,14,184160,LI
39,4,6,20,10,13,130701,LI
36,3,4,15,10,12,94029,LI
25,2,2,2,10,7,43029,LI
23,3,3,5,8,6,44394,LI
20,2,2,2,7,5,27535,LI
17,2,3,9,6,4,43811,LI
14,2,2,8,6,3,30524,LI
12,2,2,8,6,2,26533,LI
9,1,1,1,6,1,11437,LI
55,5,15,21,17,20,450560,LI
50,4,12,18,16,19,367358,LI
47,3,12,28,16,18,391714,LI
44,2,11,22,14,17,364697,LI
34,2,10,21,12,13,230304,LI
33,1,6,7,12,13,170277,LI
30,1,5,6,10,12,124097,LI
52,6,10,11,12,18,219311,LI
48,5,8,9,12,17,176666,LI
45,4,8,13,12,16,188388,LI
42,3,6,11,12,15,148437,LI
39,2,3,21,10,14,90642,LI
36,1,2,2,10,13,62722,LI
43,3,4,4,10,12,111255,LI
38,3,8,13,10,11,143087,LI
33,2,6,8,8,10,135748,LI
28,2,5,7,8,9,64096,LI
25,1,3,3,8,8,41682,LI
22,1,2,2,8,7,29423,LI
17,1,1,1,8,6,17607,LI
53,8,13,22,18,20,371377,LI
48,7,11,20,18,18,370889,LI
45,6,15,25,18,17,372277,LI
42,5,13,23,19,16,400710,LI
41,4,11,21,18,16,347147,LI
38,3,8,17,16,15,193392,LI
35,2,3,5,14,14,89663,LI
5,1,1,1,2,1,6094,LI
54,5,6,6,17,18,158949,LI
51,4,13,22,17,17,370132,LI
48,3,11,29,17,16,373438,LI
45,2,5,9,15,15,172548,LI
16,1,1,1,6,5,20158,LI
18,1,3,3,6,6,41783,LI
17,1,4,4,6,5,41452,LI
52,5,10,16,20,19,311334,LI
49,4,17,37,20,18,458177,LI
44,3,16,34,18,16,374328,LI
39,2,13,30,15,15,275519,LI
36,1,1,1,14,14,52205,LI
38,4,3,3,12,13,81137,LI
35,4,5,7,12,12,125020,LI
32,3,11,26,12,11,205538,LI
29,2,6,13,12,10,112600,LI
26,1,2,2,11,9,73157,LI
23,1,1,1,10,8,31024,LI
26,3,3,6,10,7,46709,LI
21,2,2,2,10,6,23953,LI
17,2,8,12,10,5,78456,LI
14,1,1,1,8,4,14423,LI
54,8,5,5,18,20,59398,LI
51,7,3,3,18,19,39879,LI
48,6,9,17,18,18,267885,LI
45,5,15,37,18,17,379378,LI
42,4,14,30,17,16,338555,LI
36,3,10,23,15,14,198248,LI
23,2,2,5,10,8,62906,LI
20,1,1,1,9,7,18903,LI
52,6,5,5,15,16,111015,LI
49,6,7,10,15,15,98165,LI
45,5,4,4,15,14,76578,LI
42,5,3,3,15,13,38202,LI
39,4,9,15,15,12,239402,LI
36,4,8,14,15,11,194829,LI
33,3,13,20,15,10,249506,LI
30,2,6,10,15,9,158809,LI
12,1,1,1,5,3,15691,LI
53,5,15,28,20,18,670155,LI
39,5,16,31,17,12,396418,LI
36,4,14,27,16,11,357571,LI
32,3,13,22,16,10,261767,LI
29,2,12,15,16,9,212258,LI
24,1,7,8,14,7,121331,LI
54,5,9,12,16,17,270153,LI
43,4,12,27,16,13,331095,LI
35,3,7,14,16,10,170994,LI
32,2,6,9,14,9,124273,LI
18,1,3,3,7,5,38405,LI
55,3,11,38,14,20,293705,LI
50,2,11,42,14,19,255927,LI
47,1,1,1,12,18,47627,LI
51,2,9,9,14,19,219339,LI
47,2,8,8,14,18,183968,LI
43,1,6,6,14,17,159318,LI
53,8,9,12,22,16,282309,LI
49,7,14,18,22,15,347510,LI
42,6,21,33,22,13,427563,LI
39,5,17,24,21,12,330703,LI
27,4,15,22,16,7,191648,LI
24,3,11,15,14,6,137129,LI
21,2,9,13,14,5,93963,LI
18,1,1,1,12,4,16969,LI
58,4,6,6,13,22,294561,LI
25,3,11,13,12,9,143130,LI
22,2,9,11,10,8,107158,LI
19,1,2,2,9,7,33625,LI
53,7,12,25,14,18,275192,LI
50,6,13,38,14,17,356690,LI
47,5,11,34,13,16,293145,LI
43,4,12,40,13,15,283380,LI
40,3,10,36,11,14,241618,LI
36,2,7,26,11,13,209948,LI
33,1,2,2,11,12,46210,LI
58,5,13,17,19,23,553550,LI
55,4,17,40,19,22,508674,LI
52,3,12,27,18,21,483342,LI
37,2,8,11,13,15,219025,LI
34,1,3,3,11,14,100928,LI
31,1,2,2,10,13,70467,LI
38,6,8,12,9,12,224401,LI
35,5,7,9,9,11,162542,LI
32,5,8,14,9,10,218088,LI
29,4,7,11,8,9,124774,LI
26,3,6,8,7,8,117864,LI
23,3,6,10,7,7,86010,LI
20,2,5,7,6,6,63748,LI
17,2,4,6,6,5,46491,LI
14,2,3,5,6,4,34019,LI
11,1,2,2,5,3,19653,LI
8,1,1,1,4,2,9361,LI
5,1,1,1,2,1,5234,LI
54,3,2,2,14,21,33068,LI
51,3,9,23,14,20,338890,LI
48,2,7,43,12,19,155555,LI
45,1,1,1,12,18,34844,LI
56,2,8,10,19,20,235183,LI
51,2,18,40,19,18,391902,LI
47,1,7,9,17,17,195209,LI
55,5,11,32,14,20,223696,LI
52,4,9,27,12,19,187475,LI
43,3,6,20,9,16,119613,LI
40,2,4,4,9,15,73622,LI
19,1,1,1,9,7,16327,LI
57,9,6,7,11,18,113009,LI
53,8,5,15,11,17,114666,LI
50,7,4,12,11,16,96374,LI
47,7,3,11,11,15,164106,LI
44,7,9,37,11,14,184473,LI
41,7,8,36,10,13,159934,LI
38,6,7,29,10,12,135073,LI
35,5,6,25,8,11,109454,LI
32,4,4,23,8,10,86384,LI
31,5,6,27,7,9,91529,LI
28,4,5,24,7,8,75476,LI
25,3,3,20,7,7,58129,LI
22,2,2,10,7,6,42102,LI
17,1,1,1,7,5,17174,LI
52,4,15,19,19,17,301166,LI
49,3,14,16,19,16,336528,LI
44,2,16,20,19,14,240484,LI
36,1,7,7,15,11,118509,LI
57,8,13,30,14,19,362730,LI
54,7,11,34,14,18,481283,LI
51,6,9,32,12,17,288964,LI
45,5,7,35,12,15,223581,LI
42,4,6,20,12,14,170836,LI
51,3,5,13,13,17,175654,LI
18,3,4,12,8,5,62918,LI
15,2,2,4,6,4,26352,LI
20,3,3,10,7,3,47588,LI
17,2,2,4,9,2,27426,LI
14,1,1,1,11,1,11265,LI
51,5,8,22,11,17,139727,LI
48,4,5,5,11,16,106165,LI
43,3,10,28,11,15,176114,LI
40,2,8,37,11,14,134799,LI
37,1,3,3,11,13,64585,LI
55,7,6,6,16,18,181187,LI
52,6,9,17,16,17,276862,LI
49,6,14,31,16,16,338996,LI
44,5,8,16,14,15,218433,LI
29,4,4,4,9,9,81335,LI
26,4,4,18,9,8,121738,LI
23,3,3,3,9,7,71045,LI
20,2,2,16,7,6,38246,LI
17,1,1,1,7,5,19452,LI
17,2,4,6,5,4,43123,LI
14,2,3,5,5,3,29492,LI
11,1,2,2,4,2,16317,LI
8,1,1,1,4,1,7996,LI
56,5,7,8,20,22,299096,LI
53,4,19,28,20,21,409273,LI
50,3,15,30,18,20,352133,LI
47,2,14,22,18,19,303129,LI
44,2,13,21,16,18,259647,LI
41,1,9,15,14,17,200665,LI
51,5,7,11,14,15,162042,LI
48,4,4,8,14,14,128690,LI
45,4,9,29,14,13,214433,LI
42,3,8,26,12,12,224095,LI
33,2,3,7,9,9,83144,LI
18,1,2,2,7,3,29685,LI
15,1,1,1,8,2,15907,LI
56,8,11,24,13,21,261651,LI
53,7,12,30,13,20,253728,LI
50,6,10,31,11,19,225691,LI
45,5,5,17,11,17,153242,LI
46,4,4,10,9,18,116626,LI
81,3,3,3,10,35,167858,LI
78,2,3,70,10,34,145652,LI
75,2,2,69,10,33,133506,LI
73,2,2,69,10,32,129823,LI
70,1,1,1,10,31,134408,LI
94,12,6,6,9,30,248061,LI
91,12,7,9,9,29,243168,LI
88,12,7,11,9,28,288164,LI
85,11,6,8,9,27,255323,LI
82,10,5,5,9,26,205967,LI
79,10,6,8,9,25,201738,LI
76,10,5,7,9,24,201101,LI
73,9,4,4,9,23,155916,LI
70,9,3,3,9,22,134906,LI
67,9,7,9,9,21,313642,LI
64,9,8,12,9,20,355082,LI
61,9,8,14,9,19,322658,LI
58,8,7,11,9,18,211434,LI
55,7,6,8,9,17,205956,LI
52,7,7,11,9,16,187588,LI
49,7,6,10,9,15,213763,LI
46,6,5,7,9,14,154102,LI
43,6,4,6,9,13,111266,LI
