vertices,redexes,redex_depths,redex_indexes,heights,widths,steps_time,strategy_name
45,5,7,18,12,14,213110,LI
42,5,8,19,12,13,193383,LI
39,4,6,9,12,12,163175,LI
36,5,9,12,11,11,150838,LI
33,5,9,12,10,10,128893,LI
30,4,5,8,10,9,97777,LI
26,4,6,12,10,8,124163,LI
23,4,9,17,10,7,112745,LI
20,3,6,14,8,6,84315,LI
16,2,5,11,6,5,66189,LI
12,1,4,7,6,4,37866,LI
9,1,3,6,4,3,39069,LI
57,4,17,31,19,21,491719,LI
54,3,10,23,19,20,308059,LI
51,2,9,10,17,19,245637,LI
23,1,5,5,12,7,61537,LI
54,4,12,19,16,22,338661,LI
51,3,13,31,16,21,357761,LI
48,2,14,34,16,20,376578,LI
45,1,4,6,14,19,135197,LI
45,2,11,23,12,18,305119,LI
42,1,11,28,12,17,273930,LI
58,9,7,7,21,19,255351,LI
53,8,9,13,21,17,392533,LI
48,7,20,29,21,16,573719,LI
43,6,17,26,19,14,467591,LI
40,5,14,20,17,13,337560,LI
33,4,12,22,14,11,246933,LI
30,3,6,8,14,10,133649,LI
27,2,5,5,13,9,152458,LI
24,1,2,2,12,8,39799,LI
54,5,13,20,18,20,456834,LI
42,4,11,16,17,16,300923,LI
35,3,14,23,17,13,295312,LI
32,2,12,18,15,12,271390,LI
24,2,11,17,12,9,148129,LI
20,1,6,7,10,8,80393,LI
58,7,6,7,17,20,101691,LI
55,6,3,3,17,19,67617,LI
58,7,5,8,17,18,98932,LI
55,7,4,7,17,17,77913,LI
50,6,3,3,17,16,79587,LI
47,6,2,2,17,15,35290,LI
43,6,12,19,17,14,208074,LI
40,5,5,10,15,13,120613,LI
37,4,3,6,13,12,80176,LI
34,4,7,26,12,11,122396,LI
29,3,3,21,12,9,77848,LI
28,4,4,24,12,8,80643,LI
25,3,3,21,12,7,66071,LI
22,2,2,5,12,6,46421,LI
21,2,3,6,11,5,45431,LI
18,1,1,1,10,4,16844,LI
51,3,4,4,12,17,204887,LI
48,3,3,3,11,16,143767,LI
51,5,8,11,11,15,269987,LI
45,4,7,7,9,14,181109,LI
41,4,6,6,9,13,144774,LI
38,4,5,5,9,12,129043,LI
35,3,6,25,9,11,152570,LI
32,2,5,21,8,10,122072,LI
24,1,2,2,7,7,54202,LI
29,2,4,13,9,8,115769,LI
27,2,5,14,8,7,128723,LI
24,2,4,13,8,6,134268,LI
19,1,3,3,8,5,77415,LI
17,1,4,4,6,4,62399,LI
14,1,3,3,5,3,40953,LI
9,1,2,2,4,2,18847,LI
6,1,1,1,3,1,8414,LI
52,4,18,31,20,21,608379,LI
49,3,13,22,18,20,418491,LI
46,2,14,34,16,19,505654,LI
38,1,3,3,16,16,106988,LI
35,1,2,2,14,15,57350,LI
57,5,15,34,17,19,467763,LI
54,4,11,20,17,18,379809,LI
35,3,9,13,11,12,152219,LI
27,2,7,7,9,9,85029,LI
22,2,6,6,7,7,52680,LI
18,1,1,1,6,6,21305,LI
54,3,9,10,17,21,343217,LI
51,2,7,32,15,20,227293,LI
48,1,4,4,15,19,143532,LI
52,5,9,16,13,19,160465,LI
49,4,10,30,13,18,249384,LI
46,3,12,33,13,17,246940,LI
43,2,10,31,13,16,214643,LI
33,1,4,10,9,12,90172,LI
59,7,10,22,17,17,323308,LI
56,7,10,22,17,16,293553,LI
51,6,7,18,17,15,240321,LI
49,6,7,18,17,14,224389,LI
46,5,6,15,17,13,197908,LI
43,5,16,29,17,12,283683,LI
39,4,9,21,16,11,204345,LI
36,3,5,14,14,10,146336,LI
33,2,4,6,13,9,114730,LI
42,3,6,21,15,11,190920,LI
39,2,4,6,13,10,142229,LI
36,3,5,7,14,9,139194,LI
33,2,3,5,12,8,95810,LI
30,2,5,7,10,7,101806,LI
21,2,4,6,10,5,59811,LI
10,1,2,2,4,2,17395,LI
